,,mean,median,amin,amax
,,Price (€),Price (€),Price (€),Price (€)
Region,County,,,,
Border,Cavan,108581.92974218627,90000.0,5412.0,2104000.0
Border,Donegal,111747.76506149005,95000.0,5079.0,2904000.0
Border,Leitrim,95162.74506497431,79521.0,6000.0,840000.0
Border,Monaghan,124149.01270906533,106279.735,6500.0,2114520.0
Border,Sligo,129508.68448436314,100000.0,5177.0,5559481.0
Dublin,Dublin,380252.81507744844,285000.0,5250.0,139165000.0
Mid-East,Kildare,248909.28822814897,230000.0,6500.0,26500000.0
Mid-East,Louth,171515.87870295602,150000.0,6900.0,6013215.8
Mid-East,Meath,224024.7918760041,210000.0,6000.0,5536500.0
Mid-East,Wicklow,292961.5815144231,250000.0,6248.0,7225000.0
Mid-West,Clare,149835.8712185732,124000.0,5987.0,33180000.0
Mid-West,Limerick,156448.23952217205,135000.0,6000.0,6050000.0
Mid-West,Tipperary,132229.4762853824,115000.0,5080.0,6600000.0
Midland,Laois,136481.34597183616,118000.0,6000.0,20800000.0
Midland,Longford,87299.35503552973,70242.0,6000.0,895110.13
Midland,Offaly,129888.39572436498,114975.0,6200.0,1460000.0
Midland,Westmeath,139757.68850709175,120000.0,5500.0,14000000.0
South-East,Carlow,139868.79995659954,127000.0,7500.0,2097577.0
South-East,Kilkenny,170249.10940935777,146000.0,6000.0,5141700.0
South-East,Waterford,145136.60049925625,125000.0,6000.0,2181000.0
South-East,Wexford,146003.86560688427,133490.08500000002,5500.0,2423182.0
South-West,Cork,216625.84082825147,180000.0,5200.0,69873482.0
South-West,Kerry,150654.1577992388,130000.0,5250.0,2925000.0
West,Galway,191864.0560456667,160000.0,5864.0,34781000.0
West,Mayo,121769.5246768508,100000.0,5254.0,7762438.0
West,Roscommon,97771.1414442056,79950.0,5179.0,1075000.0
